timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,quantity,original_qty,highest_tp,breakeven
2026-08-02 10:22:19,ATOM-USD,SHORT,1.2502,1.293807,1.232757,1.215314,1.197872,1.180429,1.162986,open,223.45132793,223.45132793,-1,False
2026-08-02 15:12:37,SHIB-USD,LONG,5.019e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,open,512844318.7894777,512844318.7894777,-1,False
